id,name,brewery_type,address_1,address_2,address_3,city,state_province,postal_code,country,phone,website_url,longitude,latitude
,Bridge Brewing Company - Pemberton,brewpub,1123 West 15th Street,,,North Vancouver,British Columbia,V7P 1M7,Canada,16049730606,http://bridgebrewing.com/,49.319213,-123.1314885
,Green Leaf Brewing Co.,closed,123 Carrie Cates Ct,,,North Vancouver,British Columbia,V7M 2E4,Canada,,,49.310644,-123.0815601
,Hearthstone Brewery,micro,1015 Marine Dr,,,North Vancouver,British Columbia,V7P 1S6,Canada,16049841842,http://www.hearthstonebrewery.ca/,49.3237449,-123.1021631
,Red Truck Beer Company,micro,295 East 1st Avenue,,,Vancouver,British Columbia,V7P 1S5,Canada,,http://www.redtruckbeer.com/,49.32381,-123.102109
,Taylor's Crossing Brewing,closed,1025 Marine Drive,,,North Vancouver,British Columbia,V7P 1S6,Canada,,,49.3236808,-123.1025507
,Bad Tattoo Brewing Company,micro,169 Estabrook Ave,,,Penticton,British Columbia,V2A 1A5,Canada,12504938686,,49.4991381,-119.5937077
,Cannery Brewing,brewpub,198 Ellis Street,,,Penticton,British Columbia,V2A 4L5,Canada,12504932723,http://www.cannerybrewing.com,49.4828832,-119.5943952
,Tin Whistle Brewing,micro,954 West Eckhardt Avenue,,,Penticton,British Columbia,V2A 2B7,Canada,12507701122,http://www.tinwhistlebrewery.com,49.4943824,-119.6099322
,Foamers' Folly Brewing Co.,micro,19221 122a Ave,,,Pitt Meadows,British Columbia,V3Y 2E9,Canada,16044597837,http://www.foamersfolly.ca,49.2248538,-122.6890521
,Tinhouse Brewing Co.,micro,550 Sherling Pl #2140,,,Port Coquitlam,British Columbia,V3B 0J6,Canada,16044743434,http://www.tinhousebrewing.ca/,49.2519881,-122.7322371
,Moody Ales Brewery,micro,2601 Murray St.,,,Port Moody,British Columbia,V3H 1X1,Canada,16044923911,http://www.moodyales.com/,49.2788702,-122.854181
,Twin Sails Brewing,micro,2821 Murray St.,,,Port Moody,British Columbia,V3H 1X3,Canada,16044924234,http://twinsailsbrewing.com/,49.2785287,-122.8483722
,Yellow Dog Brewing Company - Port Moody,micro,2817 Murray St #1,,,Port Moody,British Columbia,V3H 1X3,Canada,,http://www.yellowdogbeer.com/,49.2786058,-122.8512888
,Yellow Dog Brewing Company - Penticton,micro,169 Estabrook Ave,,,Penticton,British Columbia,V2A 1G2,Canada,,http://www.yellowdogbeer.com/,49.5006478,-119.5989151
,Townsite Brewing,micro,5824 Ash Avenue,,,Powell River,British Columbia,V8A 4R4,Canada,16044832111,http://townsitebrewing.com/,49.8742997,-124.5512114
,Pacific Western Brewery - Prince George,micro,641 North Nechako Road,,,Prince George,British Columbia,V2K 4M4,Canada,12505622424,http://www.pwbrewing.net/,53.931261,-122.783412
,Barkerville Brewing,micro,185 Davie Street,,,Quesnel,British Columbia,V2J 2S8,Canada,17784142739,http://barkervillebeer.com/,52.9757055,-122.4933399
,Mt. Begbie Brewing Company,micro,2155 Oak Drive,,,Revelstoke,British Columbia,V0E 2S0,Canada,12508372756,http://www.mt-begbie.com/,50.9929316,-118.1628514
,Britannia Brewing Company - Ladner Village,brewpub,4821 Delta St,,,Delta,British Columbia,V4K 2T7,Canada,16049401900,http://www.britanniasteveston.ca/,49.0905781,-123.0881992
,Britannia Brewing Company - Lake Country,micro,8999 Jim Bailey Rd,,,Kelowna,British Columbia,V4V 1S4,Canada,16042739379,http://www.britanniasteveston.ca/,50.0112552,-119.3937816
,Britannia Brewing Company - Steveston Vollage,brewpub,Unit 250 - 12240 2nd Avenue,,,Richmond,British Columbia,V7E 3L8,Canada,16042709252,http://www.britanniasteveston.ca/,49.1242403,-125.6229041
,Sea Cider Farm & Ciderhouse Brewery,cidery,2487 Mt. St. Michael Rd,,,Saanichton,British Columbia,V8M 1S8,Canada,12505444824,http://seacider.ca/,48.6031683,-123.3971074
,Barley Station Brewpub,brewpub,20 Shuswap Street SE,,,Salmon Arm,British Columbia,V1E 4H7,Canada,12508320999,http://www.barleystation.com/,50.6996989,-119.2847443
,Sooke Oceanside Brewery,micro,5871-A Sooke Rd,,,Sooke,British Columbia,V9Z 0C7,Canada,17783522739,http://www.sookeoceansidebrewery.com,48.3933109,-123.6598267
,Crannóg Ales Brewery,micro,"706 Elson Road,",,,Sorrento,British Columbia,V0E 2W1,Canada,12508634262,http://www.crannogales.com,50.8810382,-119.5067239
,Howe Sound Brewing Company - Squamish,brewpub,37801 Cleveland Ave.,,,Squamish,British Columbia,V8B 0A7,Canada,16048922603,http://www.howesound.com/,49.6955444,-123.1589563
,Howe Sound Brewing Company - East Van,brewpub,1489 E Hastings St,,,Vancouver,British Columbia,V5L 1S4,Canada,16048750544,http://www.howesound.com/,49.4884931,-123.4457643
,Howe Sound Brewing Company - New West,brewpub,411 Columbia St,,,New Westminster,British Columbia,V3L 1A9,Canada,16045201967,http://www.howesound.com/,49.204436,-122.9085522
,Detonate Brewing,brewpub,#103 9503 Cedar Ave.,,,Summerland,British Columbia,V0H 1Z3,Canada,17785161119,https://www.detonatebrew.com/,49.5872533,-119.6779042
,Dominion Cider Co. Brewery,cidery,10216 Gould Avenue,,,Summerland,British Columbia,V0H1Z8,Canada,17785168006,http://dominioncider.com/,49.5898294,-119.6925893
,Nomad Handcrafted Cider Brewery,cidery,8011 Simpson Rd,,,Summerland,British Columbia,V0H 1Z0,Canada,12504696601,http://www.nomadcider.ca/,49.6073297,-119.6768815
,Big Ridge Brewing Company,closed,5580 152nd St,,,Surrey,British Columbia,V3S 5J9,Canada,,,49.1041652,-122.8008912
,Central City Brewing Company - Main Brewery,micro,13450 - 102 Avenue,,,Surrey,British Columbia,V3T 5X3,Canada,16045882337,http://www.centralcitybrewing.com/,49.1883635,-122.84959
,Central City Brewing Company - Surrey,closed,11411 Bridgeview Dr.,,,Surrey,British Columbia,V3R 2N1,Canada,16045882337,http://www.centralcitybrewing.com/,49.1991,-122.845
,Russell Brewing,micro,202 - 13018 80th Avenue,,,Surrey,British Columbia,V3W 3A8,Canada,12365989951,http://www.russellbeer.com/,49.1481518,-122.8615071
,Tofino Brewing Co.,micro,681 Industrial Way,,,Tofino,British Columbia,V0R 2Z0,Canada,12507252899,http://www.tofinobrewingco.com/,49.1394582,-125.8925359
,Trail Beer Refinery Brewery,closed,1299 Bay Ave,,,Trail,British Columbia,V1R 4A5,Canada,,,49.0965736,-117.7080021
,Tailout Brewing,brewpub,1299 Bay Ave,,,Trail,British Columbia,V1R 4A5,Canada,17784562827,https://tailoutbrewing.com/,49.0965736,-117.7080021
,Three Ranges Brewing Co.,closed,1160 5th Avenue,,,Valemount,British Columbia,V0E 2Z0,Canada,,http://threeranges.com/,52.8324,-119.2633
,33 Acres Brewing Company,brewpub,15 West 8th Avenue,,,Vancouver,British Columbia,V5Y 1M8,Canada,,http://www.33acresbrewing.com,49.2637804,-123.1053533
,33 Brewing Experiment,brewpub,25 West 8th Avenue,,,Vancouver,British Columbia,V5Y 1M8,Canada,,http://www.33acresbrewing.com,49.2637804,-123.1053533
,Andina Brewing Company,closed,1507 Powell Street,,,Vancouver,British Columbia,V5L 1S3,Canada,,,49.2833907,-123.0737942
,Balderdash Brewing Co.,micro,688 Abbott St,,,Vancouver,British Columbia,V6B 1H7,Canada,,https://www.balderdashbeer.com,49.2827291,-123.1207375
,Big Rock Urban Brewery - British Columbia Brewery,closed,310 W 4th Ave,,,Vancouver,British Columbia,V5Y 1H3,Canada,,https://bigrockurban.com,49.2674915,-123.110776
,Bomber Brewing,micro,1488 Adanac Street,,,Vancouver,British Columbia,V5L 3J7,Canada,16044287457,http://www.bomberbrewing.com,49.2774031,-123.074588
,Bowen Island Brewing,micro,275-295 Terminal Avenue,,,Vancouver,British Columbia,V6B 1G1,Canada,,https://www.bowenislandbeer.ca/home,49.2827291,-123.1207375
,Brassneck Brewery,micro,2148 Main St,,,Vancouver,British Columbia,V5T 3C5,Canada,12364851398,http://brassneck.ca,49.2656785,-123.100784
,Doan's Craft Brewing Company,closed,1830 Powell St,,,Vancouver,British Columbia,V5L 1H9,Canada,,,49.2841859,-123.0672742
,Faculty Brewing Co,micro,1830 Ontario Street,,,Vancouver,British Columbia,V5T 2W6,Canada,17787166794,https://www.facultybrewing.com/,49.2686702,-123.1045352
,Granville Island Brewing Company,micro,1441 Cartwright Street,,,Vancouver,British Columbia,V6H 3R7,Canada,16046872739,https://www.granvilleislandbrewing.ca/en-CA,49.2707033,-123.1359011
,Main Street Brewing Company,micro,261 East 7th Avenue,,,Vancouver,British Columbia,V5T 0B8,Canada,16043367711,http://mainstreetbeer.ca/,49.2646786,-123.0992043
,Parallel 49 Brewing Company,brewpub,1950 Triumph St,,,Vancouver,British Columbia,V5L 1K5,Canada,16055242739,http://parallel49brewing.com,49.2839053,-123.0644391
,Postmark Brewing,closed,55 Dunlevy Ave.,,,Vancouver,British Columbia,V6A 3A3,Canada,,,49.2843192,-123.095659
,Powell Street Craft Brewery,micro,1830 Powell Street,,,Vancouver,British Columbia,V5L1G8,Canada,16045582537,http://www.powellbeer.com/,49.2841,-123.0667
,R&B Brewing Company,brewpub,54 East 4th Ave.,,,Vancouver,British Columbia,V5T 1E8,Canada,16043360275,https://www.randbbrewing.com/,49.267381,-123.103715
,Stanley Park Brewing Co.,brewpub,8901 Stanley Park Dr,,,Vancouver,British Columbia,V6G 3E2,Canada,16046810460,http://www.stanleyparkbrewing.com/,49.2827291,-123.1207375
,Steamworks Brewery - Taproom,brewpub,3845 William Street,,,Burnaby,British Columbia,V6B 5C6,Canada,,https://steamworks.com/,49.2740842,-123.0204092
,Steamworks Brewery - Brewpub,brewpub,375 Water Street,,,Vancouver,British Columbia,V6B 1B8,Canada,,https://steamworks.com/,49.2848666,-123.1126947
,Steamworks Brewery - Mount Pleasant,brewpub,2275 Main Street,,,Vancouver,British Columbia,V5T 0K2,Canada,,https://steamworks.com/,49.2649991,-123.1011871
,Steamworks Brewery - North Shore,brewpub,114 21st Street E,,,North Vancouver,British Columbia,V7M 0J2,Canada,,https://steamworks.com/,49.3285289,-123.0739817
,Steel Toad Brewery,closed,97 East 2nd,,,Vancouver,British Columbia,V5T 1B3,Canada,,,49.2693876,-123.1032707
,Storm Brewing,micro,310 Commercial Drive,,,Vancouver,British Columbia,V5L 3V6,Canada,16042559119,http://www.stormbrewing.org,49.2763,-123.074
,Strange Fellows Brewing,micro,1345 Clark Drive,,,Vancouver,British Columbia,V5L 3K9,Canada,16042150092,https://strangefellowsbrewing.com/,49.2723686,-123.0776691
,Yaletown Brewing,brewpub,1111 Mainland Street,,,Vancouver,British Columbia,V6B 2T9,Canada,16046812739,https://yaletownbrewing.com/,49.2754449,-123.1207075
,Okanagan Spring Brewery,micro,2801 - 27A Avenue,,,Vernon,British Columbia,V1T 8V3,Canada,12505422337,http://okspring.com/,50.2613169,-119.2767142
,The Bernard's Express Brewery,closed,4667 East Vernon Road,,,Vernon,British Columbia,V1B 3J2,Canada,,https://www.thebxpress.com,50.2798201,-119.2228203
,Category 12 Brewery,brewpub,2200 Keating Cross Road,,,Victoria,British Columbia,V8M 2A6,Canada,12506529668,http://category12beer.com/,48.5652029,-123.4006865
,Driftwood Brewery,micro,450 Hillside Avenue,,,Victoria,British Columbia,V8T 1Y7,Canada,12503812739,http://www.driftwoodbeer.com/,48.4370058,-123.3738423
,Hoyne Brewing Co.,micro,101 - 2740 Bridge Street,,,Victoria,British Columbia,V8T5C5,Canada,12505905758,http://hoynebrewing.ca/,48.4381,-123.3657
,Lighthouse Brewing,micro,2 - 836 Devonshire Road,,,Victoria,British Columbia,V9A 4T4,Canada,12503836500,http://www.lighthousebrewing.com/,48.4358477,-123.3958511
,Moon Under Water Brewery,brewpub,350B Bay Street,,,Victoria,British Columbia,V8T 1P7,Canada,12503800706,http://www.ww.moonunderwater.ca/index.php,48.4349801,-123.3751019
,Phillips Brewing Company,micro,2010 Government St.,,,Victoria,British Columbia,V8T 4P1,Canada,12503801912,http://www.phillipsbeer.com,48.4326736,-123.3673092
,"Swans Hotel, Pub & Brewery",brewpub,506 Pandora Ave,,,Victoria,British Columbia,V8W 1N6,Canada,12509407513,http://swanshotel.com,48.4285262,-123.3694717
,Vancouver Island Brewing,micro,2330 Government Street,,,Victoria,British Columbia,V8T 4P7,Canada,12503610007,http://vanislandbrewery.com/,48.4343631,-123.3673641
,Whistler Brewing Company,brewpub,1045 Millar Creek Road,,,Whistler,British Columbia,V0N1B0,Canada,,http://www.whistlerbeer.com/,50.0879464,-123.0399453
,White Rock Beach Beer Brewery,micro,15181 Russell Avenue,,,White Rock,British Columbia,V4B 3Z6,Canada,16043194378,http://www.whiterockbeachbeer.com,49.02942,-122.8019072
